"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","date","PRCP","PRCP_ATTRIBUTES","avtemp","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-07-08",,,"89","H,,S","98",",,S","81",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-07-09","0.01",",,S","82","H,,S","87",",,S","76",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-07-10","0.00",",,S","87","H,,S","96",",,S","78",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-07-11",,,"90","H,,S","99",",,S","82",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-07-12","0.39",",,S","87","H,,S","96",",,S","77",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-07-13","0.00",",,S","88","H,,S","96",",,S","82",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-07-14","0.12",",,S","85","H,,S","96",",,S",,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-07-15","1.89",",,S","84","H,,S","90",",,S","78",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-07-16","0.16",",,S","83","H,,S","90",",,S","79",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-07-17","0.94",",,S","82","H,,S","88",",,S",,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-07-18","1.02",",,S","79","H,,S","88",",,S",,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-07-19","0.35",",,S","84","H,,S","93",",,S","75",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-07-20","0.00",",,S","87","H,,S","96",",,S","77",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-07-21",,,"88","H,,S","96",",,S",,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-07-22","0.43",",,S","84","H,,S","95",",,S","73",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-07-23","0.04",",,S","83","H,,S","89",",,S",,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-07-24","0.00",",,S","85","H,,S","94",",,S","78",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-07-25","2.91",",,S","81","H,,S","92",",,S","69",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-07-26","0.01",",,S","86","H,,S","95",",,S",,
